fecha_registro,planta,DBO_salida_mg_L,estado
2025-10-09,Planta Sur,32.3,No cumple
2025-08-22,Planta Centro,62.1,No cumple
2025-10-14,Planta Sur,28.5,Cumple
2025-08-11,Planta Centro,55.0,No cumple
2025-07-30,Planta Centro,36.8,No cumple
2025-07-27,Planta Sur,33.0,No cumple
2025-09-03,Planta Norte,40.9,No cumple
2025-09-01,Planta Norte,61.2,No cumple
2025-09-25,Planta Centro,56.9,No cumple
2025-10-07,Planta Centro,19.2,Cumple
2025-07-13,Planta Centro,52.6,No cumple
2025-07-07,Planta Sur,25.2,No cumple
2025-10-13,Planta Centro,42.1,No cumple
2025-08-04,Planta Sur,22.5,Cumple
2025-08-29,Planta Centro,27.4,Cumple
2025-10-15,Planta Centro,44.1,No cumple
2025-10-19,Planta Norte,54.1,No cumple
2025-10-25,Planta Norte,76.8,No cumple
2025-10-22,Planta Sur,44.0,No cumple
2025-10-02,Planta Centro,52.5,No cumple
2025-10-11,Planta Norte,23.3,No cumple
2025-10-15,Planta Norte,20.0,Cumple
2025-07-18,Planta Sur,23.5,No cumple
2025-07-06,Planta Norte,33.4,No cumple
2025-09-18,Planta Sur,25.8,Cumple
2025-08-19,Planta Norte,57.3,No cumple
2025-08-24,Planta Sur,40.7,No cumple
2025-09-15,Planta Centro,36.1,No cumple
2025-10-14,Planta Norte,61.3,No cumple
2025-10-13,Planta Sur,39.8,No cumple
2025-10-01,Planta Centro,29.0,No cumple
2025-08-24,Planta Centro,46.1,No cumple
2025-08-17,Planta Centro,37.6,No cumple
2025-08-07,Planta Norte,39.2,No cumple
2025-09-12,Planta Norte,37.6,No cumple
2025-09-26,Planta Norte,34.2,No cumple
2025-07-22,Planta Norte,20.5,No cumple
2025-07-05,Planta Norte,46.7,No cumple
2025-09-30,Planta Norte,45.4,No cumple
2025-09-15,Planta Sur,33.5,No cumple
2025-10-14,Planta Norte,55.2,No cumple
2025-09-14,Planta Centro,43.3,No cumple
2025-07-07,Planta Norte,11.1,Cumple
2025-10-06,Planta Norte,29.5,Cumple
2025-09-24,Planta Sur,28.5,Cumple
2025-09-24,Planta Sur,23.1,Cumple
2025-07-31,Planta Centro,54.2,No cumple
2025-10-16,Planta Norte,20.9,Cumple
2025-10-01,Planta Sur,60.0,No cumple
2025-08-26,Planta Norte,37.1,No cumple
2025-08-21,Planta Centro,41.7,No cumple
