fecha_registro,planta,caudal_entrada_m3_d,DBO_entrada_mg_L,DBO_salida_mg_L,energia_aeracion_kWh,lodos_generados_kg_d
2025-09-15,Planta Sur,3710,270,34.4,1114.3,385.6
2025-09-06,Planta Sur,3219,356,41.3,1000.2,258.2
2025-10-19,Planta Centro,4295,164,14.5,1072.2,437.0
2025-07-15,Planta Sur,3627,131,14.6,692.9,365.0
2025-07-21,Planta Norte,4374,307,28.0,1205.0,465.4
2025-08-23,Planta Centro,5789,266,30.4,1211.8,498.0
2025-07-16,Planta Norte,6281,293,38.9,1769.2,459.3
2025-08-29,Planta Centro,7523,316,34.4,1393.6,637.1
2025-08-05,Planta Norte,4169,266,49.0,923.5,428.9
2025-08-18,Planta Sur,8894,344,46.5,2410.0,938.3
2025-07-05,Planta Centro,7975,209,35.5,1580.3,630.7
2025-08-13,Planta Centro,4915,285,47.6,1082.8,409.8
2025-09-11,Planta Norte,1992,214,26.4,388.6,195.8
2025-09-29,Planta Centro,5084,190,16.2,1554.2,401.9
2025-08-24,Planta Sur,5302,329,56.0,1531.3,379.1
2025-08-13,Planta Centro,1981,326,39.9,556.3,145.4
2025-10-20,Planta Norte,5303,125,18.6,1329.9,440.4
2025-09-26,Planta Sur,4920,190,30.3,1548.7,351.5
2025-09-16,Planta Norte,4100,303,39.2,904.4,396.5
2025-08-20,Planta Sur,6077,366,46.9,1703.5,559.2
2025-08-09,Planta Centro,6607,227,25.6,1301.9,692.2
2025-07-04,Planta Norte,4519,265,24.0,1199.2,433.1
2025-07-30,Planta Centro,5521,167,11.4,1141.8,451.4
2025-07-13,Planta Centro,4283,481,48.1,741.9,294.5
2025-09-15,Planta Norte,4099,318,33.9,1304.6,292.2
2025-09-18,Planta Sur,5311,352,52.5,1121.9,544.7
2025-07-30,Planta Centro,5933,333,45.0,1896.6,537.0
2025-07-09,Planta Sur,4411,355,49.7,1187.0,287.3
2025-08-24,Planta Sur,2101,329,34.9,585.6,176.5
2025-08-08,Planta Norte,6020,253,24.6,1673.5,582.6
2025-10-26,Planta Centro,2965,340,50.4,896.5,292.4
2025-09-09,Planta Centro,5371,286,31.1,1129.4,538.7
2025-07-22,Planta Sur,7691,384,56.9,2395.1,797.8
2025-08-14,Planta Centro,5176,221,25.6,1206.9,430.4
2025-09-30,Planta Centro,3534,237,25.4,669.5,325.2
2025-07-08,Planta Sur,3154,333,49.0,927.7,200.3
2025-09-20,Planta Norte,6839,382,38.2,1303.1,627.5
2025-10-15,Planta Centro,5176,292,45.9,1315.4,438.4
2025-10-20,Planta Centro,5956,223,26.9,1812.2,418.3
2025-09-08,Planta Norte,6497,270,26.5,1459.2,468.7
2025-10-09,Planta Sur,5131,240,32.3,1417.4,482.2
2025-08-22,Planta Centro,4768,432,62.1,1282.2,337.8
2025-10-14,Planta Sur,3874,352,28.5,1121.2,296.2
2025-08-11,Planta Centro,1500,381,55.0,279.7,117.1
2025-07-30,Planta Centro,3075,304,36.8,846.1,296.8
2025-07-27,Planta Sur,5103,236,33.0,1489.8,353.4
2025-09-03,Planta Norte,4955,374,40.9,955.0,316.1
2025-09-01,Planta Norte,5765,412,61.2,1849.3,396.6
2025-09-25,Planta Centro,5023,327,56.9,1592.4,473.2
2025-10-07,Planta Centro,5423,278,19.2,1231.7,338.5
2025-07-13,Planta Centro,6303,366,52.6,1995.0,545.9
2025-07-07,Planta Sur,3961,250,25.2,1264.0,333.5
2025-10-13,Planta Centro,4798,341,42.1,987.2,374.1
2025-08-04,Planta Sur,2950,223,22.5,838.1,226.2
2025-08-29,Planta Centro,6562,202,27.4,2055.1,563.4
2025-10-15,Planta Centro,5254,325,44.1,1520.8,330.6
2025-10-19,Planta Norte,5886,307,54.1,1201.3,444.4
2025-10-25,Planta Norte,7359,432,76.8,1729.4,588.6
2025-10-22,Planta Sur,6711,258,44.0,1693.0,448.3
2025-10-02,Planta Centro,5116,282,52.5,1178.8,435.8
2025-10-11,Planta Norte,6303,189,23.3,1475.7,471.8
2025-10-15,Planta Norte,3196,130,20.0,643.4,201.8
2025-07-18,Planta Sur,5807,138,23.5,1081.1,384.1
2025-07-06,Planta Norte,5394,317,33.4,1180.2,408.5
2025-09-18,Planta Sur,2934,186,25.8,678.1,269.2
2025-08-19,Planta Norte,7072,370,57.3,1836.2,696.0
2025-08-24,Planta Sur,4214,394,40.7,1285.8,351.2
2025-09-15,Planta Centro,6157,257,36.1,1182.1,383.2
2025-10-14,Planta Norte,4612,413,61.3,1068.1,411.1
2025-10-13,Planta Sur,6591,298,39.8,1990.5,681.9
2025-10-01,Planta Centro,7037,370,29.0,2031.7,439.6
2025-08-24,Planta Centro,4038,262,46.1,754.4,309.7
2025-08-17,Planta Centro,3057,357,37.6,878.1,185.9
2025-08-07,Planta Norte,5016,205,39.2,935.3,440.0
2025-09-12,Planta Norte,6388,330,37.6,2017.7,415.3
2025-09-26,Planta Norte,4680,243,34.2,1031.7,492.2
2025-07-22,Planta Norte,4341,270,20.5,1140.1,345.3
2025-07-05,Planta Norte,5884,331,46.7,1416.9,528.5
2025-09-30,Planta Norte,1500,294,45.4,383.8,113.7
2025-09-15,Planta Sur,4269,274,33.5,869.7,325.0
2025-10-14,Planta Norte,3263,338,55.2,746.0,197.6
2025-09-14,Planta Centro,5613,344,43.3,1235.4,570.3
2025-07-07,Planta Norte,4169,169,11.1,1088.3,304.1
2025-10-06,Planta Norte,3639,325,29.5,863.4,261.7
2025-09-24,Planta Sur,4705,334,28.5,1227.3,363.6
2025-09-24,Planta Sur,3144,220,23.1,765.1,216.4
2025-07-31,Planta Centro,5182,311,54.2,1410.2,388.6
2025-10-16,Planta Norte,4245,174,20.9,1324.7,312.0
2025-10-01,Planta Sur,4672,395,60.0,1135.2,499.0
2025-08-26,Planta Norte,4196,261,37.1,1066.2,428.2
2025-08-21,Planta Centro,6477,274,41.7,1714.2,476.4
